wave flux error
  1.1259e+03  5.9743e-01  4.7457e-02
  1.1269e+03  6.0816e-01  3.9540e-02
  1.1280e+03  6.9678e-01  4.2429e-02
  1.1290e+03  6.0545e-01  3.8314e-02
  1.1301e+03  5.5491e-01  3.4941e-02
  1.1311e+03  5.8320e-01  3.4017e-02
  1.1322e+03  6.3187e-01  4.5215e-02
  1.1332e+03  5.5143e-01  4.4905e-02
  1.1343e+03  6.8951e-01  2.5287e-02
  1.1353e+03  7.0158e-01  3.7241e-02
  1.1364e+03  6.9540e-01  3.9295e-02
  1.1374e+03  7.5863e-01  4.4926e-02
  1.1385e+03  6.2314e-01  3.9251e-02
  1.1395e+03  7.0029e-01  3.5203e-02
  1.1406e+03  6.3016e-01  4.4351e-02
  1.1416e+03  6.4456e-01  4.1128e-02
  1.1427e+03  5.7621e-01  2.9117e-02
  1.1437e+03  5.9876e-01  3.2858e-02
  1.1448e+03  6.4765e-01  2.8036e-02
  1.1458e+03  7.3105e-01  3.2668e-02
  1.1469e+03  7.5957e-01  3.6731e-02
  1.1479e+03  6.5500e-01  3.7944e-02
  1.1490e+03  7.5556e-01  4.5033e-02
  1.1500e+03  7.7384e-01  4.4587e-02
  1.1511e+03  7.3970e-01  3.6506e-02
  1.1521e+03  7.3093e-01  4.8551e-02
  1.1532e+03  6.9462e-01  4.3333e-02
  1.1542e+03  7.8686e-01  4.5592e-02
  1.1553e+03  8.3450e-01  3.6738e-02
  1.1563e+03  7.7183e-01  3.3546e-02
  1.1574e+03  7.4382e-01  3.3886e-02
  1.1584e+03  7.4299e-01  4.0817e-02
  1.1595e+03  6.6240e-01  3.6757e-02
  1.1605e+03  6.2462e-01  3.9364e-02
  1.1616e+03  7.0986e-01  3.3766e-02
  1.1626e+03  6.7931e-01  3.2459e-02
  1.1637e+03  6.3680e-01  2.9719e-02
  1.1647e+03  5.5708e-01  3.3954e-02
  1.1658e+03  6.6114e-01  2.7823e-02
  1.1668e+03  6.6244e-01  2.6161e-02
  1.1679e+03  6.6875e-01  3.4538e-02
  1.1689e+03  6.4370e-01  4.1802e-02
  1.1700e+03  6.4873e-01  2.4167e-02
  1.1710e+03  5.5665e-01  3.9973e-02
  1.1721e+03  6.7985e-01  2.5359e-02
  1.1731e+03  4.9007e-01  4.0175e-02
  1.1742e+03  4.5607e-01  4.3386e-02
  1.1752e+03  4.0652e-01  3.2461e-02
  1.1763e+03  5.7977e-01  3.8285e-02
  1.1773e+03  6.0238e-01  3.6608e-02
  1.1784e+03  5.6733e-01  3.4700e-02
  1.1794e+03  5.9735e-01  3.4487e-02
  1.1805e+03  5.0462e-01  2.7384e-02
