wave flux error
  1.1122e+03  6.9845e-01  4.6660e-02
  1.1132e+03  7.1030e-01  3.7273e-02
  1.1143e+03  7.7390e-01  4.0641e-02
  1.1153e+03  7.1873e-01  3.2586e-02
  1.1164e+03  7.0067e-01  3.2581e-02
  1.1174e+03  6.3221e-01  4.0537e-02
  1.1185e+03  7.1545e-01  4.8906e-02
  1.1195e+03  7.0339e-01  3.6824e-02
  1.1206e+03  6.0156e-01  2.3512e-02
  1.1217e+03  6.7666e-01  2.7920e-02
  1.1227e+03  6.5384e-01  3.0433e-02
  1.1238e+03  7.2677e-01  3.6381e-02
  1.1248e+03  6.8242e-01  4.5180e-02
  1.1259e+03  6.6270e-01  4.2922e-02
  1.1269e+03  5.9651e-01  3.8420e-02
  1.1280e+03  6.6673e-01  3.8670e-02
  1.1290e+03  5.9457e-01  3.0522e-02
  1.1301e+03  6.6955e-01  3.8388e-02
  1.1311e+03  5.4632e-01  3.6336e-02
  1.1322e+03  6.3380e-01  4.6508e-02
  1.1332e+03  7.0583e-01  3.8109e-02
  1.1343e+03  6.7611e-01  3.4592e-02
  1.1353e+03  7.1104e-01  4.3711e-02
  1.1364e+03  6.7394e-01  3.3121e-02
  1.1374e+03  7.6892e-01  3.4061e-02
  1.1385e+03  6.3347e-01  3.2334e-02
  1.1395e+03  6.2000e-01  3.4138e-02
  1.1406e+03  7.8263e-01  3.2618e-02
  1.1416e+03  7.2717e-01  4.0230e-02
  1.1427e+03  6.9699e-01  4.9546e-02
  1.1437e+03  7.0293e-01  3.4086e-02
  1.1448e+03  8.5769e-01  3.4910e-02
  1.1458e+03  7.2333e-01  5.1647e-02
  1.1469e+03  6.4682e-01  3.8213e-02
  1.1479e+03  7.8514e-01  3.3346e-02
  1.1490e+03  8.2408e-01  2.6791e-02
  1.1500e+03  6.2239e-01  4.0627e-02
  1.1511e+03  7.1993e-01  3.3233e-02
  1.1521e+03  7.1506e-01  3.7354e-02
  1.1532e+03  6.6652e-01  2.8114e-02
  1.1542e+03  7.2851e-01  3.9867e-02
  1.1553e+03  7.8509e-01  3.2381e-02
  1.1563e+03  7.2457e-01  3.0689e-02
  1.1574e+03  6.8818e-01  3.2497e-02
  1.1584e+03  6.8516e-01  4.2103e-02
  1.1595e+03  5.7657e-01  3.4313e-02
  1.1605e+03  7.0892e-01  4.9378e-02
  1.1616e+03  7.8199e-01  3.9568e-02
  1.1626e+03  8.0730e-01  3.3623e-02
  1.1637e+03  7.6036e-01  3.3740e-02
  1.1647e+03  6.6256e-01  3.6454e-02
  1.1658e+03  7.0003e-01  3.9582e-02
  1.1668e+03  7.2494e-01  3.5890e-02
  1.1679e+03  7.0528e-01  4.9531e-02
  1.1689e+03  7.2030e-01  3.3378e-02
  1.1700e+03  6.5398e-01  4.3102e-02
  1.1710e+03  7.2362e-01  4.3274e-02
  1.1721e+03  6.1827e-01  5.2662e-02
  1.1731e+03  6.1560e-01  2.7670e-02
  1.1742e+03  6.8060e-01  3.5887e-02
  1.1752e+03  6.3752e-01  3.9078e-02
  1.1763e+03  6.0912e-01  3.9123e-02
  1.1773e+03  6.0273e-01  2.4310e-02
  1.1784e+03  7.2240e-01  4.2216e-02
  1.1794e+03  6.6897e-01  2.9167e-02
  1.1805e+03  6.6170e-01  3.7783e-02
  1.1815e+03  6.8951e-01  4.9671e-02
  1.1826e+03  7.4430e-01  4.3353e-02
  1.1836e+03  6.0879e-01  3.8498e-02
  1.1847e+03  7.4977e-01  4.1319e-02
  1.1857e+03  6.5237e-01  3.3066e-02
  1.1868e+03  6.8890e-01  4.2926e-02
  1.1878e+03  6.1985e-01  4.4329e-02
